n0,d0,n1,d1,n2,d2,n3,d3,n4,d4,n5,d5,l,k1
1.7307154442168633,14.792757465302131,0.03282976120975704,181.3374832703444,1.5499718490551069,171.4999356396702,1.5947883791743163,103.02653440478909,1.893889800619836,38.595671961864106,1.930883407680502,49.001988759149405,577.3897793708688,0.03282976120975704
1.7848214920109902,41.41786832536496,0.007244269314054349,183.83934240065813,1.6129282925674886,82.49736981631987,1.414985405574411,176.87932896805958,1.9907660425389944,82.91732323767853,1.9921124662028733,66.83005693123896,588.9142961270823,0.007244269314054349
1.7386967056786995,141.43328261154593,0.1230541800278512,63.632441756411716,1.0879389190067563,178.2352382720849,1.9156989127731077,123.46931312711979,1.3095148905598997,103.83775371972828,1.415234074877453,112.2202720960773,640.0115112225295,0.1230541800278512
1.3405449617618443,175.1918876209785,0.03173950919740017,114.91025272359524,1.3702585312957831,195.74112534798124,1.667888259429399,5.1594466038796805,1.858302382532886,178.91075495185834,1.4679374063573172,124.41153173859756,494.05634383847604,0.03173950919740017
1.1802254791330644,126.67782367474447,0.00014809742460331472,80.98985558628972,1.1604233024430357,151.46476450157112,1.7237934059629598,142.0752552092566,1.1446483831172531,23.058707209366048,1.194280382990231,91.53140709112655,463.6923780926193,0.00014809742460331472
1.8769387922344918,52.218051580469506,0.3384577602003713,81.80232666358067,1.028696726106917,96.02450404773279,1.3870865709946938,188.8161437060297,1.9474014389969398,45.48934749018363,1.5307451150323603,91.56229530628775,481.8446367040907,0.3384577602003713
1.9141988064232245,127.06629066709772,0.06390440106978587,121.79046295759505,1.649288157780468,182.8866255614737,1.4130263301360222,161.07512821997364,1.2829690264975637,180.59013226144768,1.6821375633789648,105.16804492014424,560.2901925429403,0.06390440106978587
1.2590166459906338,116.07423521227736,0.16000087352981893,135.98233878836965,1.6056726426070167,128.37030919141023,1.3860505592220091,136.7857259744335,1.7380830652342525,29.875692592306137,1.7227883994655546,149.06706956719583,739.3930660411097,0.16000087352981893
1.6233449752894098,22.77163279010641,0.03607224222499197,46.097589380936775,1.4573436059387461,130.72898322839387,1.5589448020777974,11.955831215513157,1.5076960604749705,16.862387050814664,1.414058629576167,172.3946227676664,583.2541130405609,0.03607224222499197
1.5898412284092633,65.5783203428685,0.11351716046811118,126.25620441968084,1.18165403555561,81.44872232253863,1.9919321937337118,154.62636805590054,1.8226764934655426,159.94718732245934,1.4370280132212394,4.306178026027485,707.409161895459,0.11351716046811118
1.153753112845623,98.69005587234354,0.03757707128389614,7.015782010401916,1.6916705917102992,65.92109411122662,1.2032201473696946,98.44776713752248,1.038202479615466,129.0312731364912,1.376157386846677,172.20166843954541,542.0996964163897,0.03757707128389614
1.587935352770867,177.84929399462308,0.020613866425147554,189.49180138761673,1.887200642856964,5.997552601931133,1.3952697226085602,19.984703705248496,1.7059344920003048,68.6623857326437,1.0896587575360694,33.04030215789518,615.8679166400906,0.020613866425147554
